Dataset,Epoch,Accuracy,Time,Total Correct,Total Test Sample
original,1,0.586,21.069201946258545,1758,3000
original,2,0.6236666666666667,20.86058497428894,1871,3000
original,3,0.6503333333333333,20.57546591758728,1951,3000
original,4,0.6813333333333333,20.983092069625854,2044,3000
original,5,0.719,20.651304244995117,2157,3000
original,6,0.7383333333333333,20.60616946220398,2215,3000
original,7,0.7503333333333333,21.262381553649902,2251,3000
original,8,0.7606666666666667,20.743799686431885,2282,3000
original,9,0.7693333333333333,20.653008699417114,2308,3000
original,10,0.7726666666666666,20.612024068832397,2318,3000
original,11,0.7733333333333333,21.081538200378418,2320,3000
original,12,0.766,20.521340370178223,2298,3000
original,13,0.7546666666666667,20.748684644699097,2264,3000
original,14,0.726,20.72646427154541,2178,3000
original,15,0.7153333333333334,20.59603786468506,2146,3000
original,16,0.7183333333333334,20.77340865135193,2155,3000
original,17,0.7346666666666667,20.579381704330444,2204,3000
original,18,0.748,20.94270348548889,2244,3000
original,19,0.7543333333333333,20.946109294891357,2263,3000
original,20,0.7313333333333333,20.9186589717865,2194,3000
original,21,0.7173333333333334,20.595176935195923,2152,3000
original,22,0.6853333333333333,20.669986248016357,2056,3000
original,23,0.7356666666666667,20.697493076324463,2207,3000
original,24,0.7543333333333333,20.674267768859863,2263,3000
original,25,0.7233333333333334,20.786828756332397,2170,3000
original,26,0.734,20.63974642753601,2202,3000
original,27,0.7623333333333333,21.522370100021362,2287,3000
original,28,0.7676666666666667,20.934290647506714,2303,3000
original,29,0.7696666666666667,20.557766675949097,2309,3000
original,30,0.77,21.016348600387573,2310,3000
original,31,0.7703333333333333,20.793874979019165,2311,3000
original,32,0.7676666666666667,20.600618362426758,2303,3000
original,33,0.7703333333333333,20.693129777908325,2311,3000
original,34,0.7696666666666667,20.962724924087524,2309,3000
original,35,0.7693333333333333,20.893839597702026,2308,3000
original,36,0.772,21.236834049224854,2316,3000
original,37,0.77,20.729206800460815,2310,3000
original,38,0.7713333333333333,21.018402099609375,2314,3000
original,39,0.771,20.447761297225952,2313,3000
original,40,0.7733333333333333,20.60447382926941,2320,3000
original,41,0.7713333333333333,20.66637396812439,2314,3000
original,42,0.7723333333333333,20.581780433654785,2317,3000
original,43,0.7716666666666666,20.727262496948242,2315,3000
original,44,0.7733333333333333,20.779974937438965,2320,3000
original,45,0.7743333333333333,20.439277172088623,2323,3000
original,46,0.7733333333333333,20.70073366165161,2320,3000
original,47,0.775,20.92790675163269,2325,3000
original,48,0.775,20.762534379959106,2325,3000
original,49,0.7756666666666666,20.677111864089966,2327,3000
original,50,0.7746666666666666,20.7222318649292,2324,3000
original,51,0.772,20.7488853931427,2316,3000
original,52,0.7736666666666666,20.61804437637329,2321,3000
original,53,0.772,21.380059003829956,2316,3000
original,54,0.7726666666666666,20.878077507019043,2318,3000
original,55,0.7723333333333333,20.620596170425415,2317,3000
original,56,0.771,20.79746174812317,2313,3000
original,57,0.771,20.88739562034607,2313,3000
original,58,0.77,20.549789428710938,2310,3000
original,59,0.77,20.707178831100464,2310,3000
original,60,0.7706666666666667,20.530861854553223,2312,3000
original,61,0.77,20.412898540496826,2310,3000
original,62,0.7693333333333333,20.823040008544922,2308,3000
original,63,0.769,20.582415103912354,2307,3000
original,64,0.7693333333333333,20.664992570877075,2308,3000
original,65,0.769,20.75260615348816,2307,3000
original,66,0.769,20.904310703277588,2307,3000
original,67,0.769,20.637945652008057,2307,3000
original,68,0.77,20.700058460235596,2310,3000
original,69,0.7706666666666667,20.80367422103882,2312,3000
original,70,0.7706666666666667,20.811479091644287,2312,3000
original,71,0.771,21.07792329788208,2313,3000
original,72,0.7713333333333333,20.904072761535645,2314,3000
original,73,0.7713333333333333,20.696104288101196,2314,3000
original,74,0.7706666666666667,20.70518207550049,2312,3000
original,75,0.7713333333333333,20.710718631744385,2314,3000
original,76,0.771,20.51735019683838,2313,3000
original,77,0.7713333333333333,20.85165286064148,2314,3000
original,78,0.7716666666666666,21.042507886886597,2315,3000
original,79,0.7716666666666666,20.74545121192932,2315,3000
original,80,0.7723333333333333,20.72732973098755,2317,3000
original,81,0.7723333333333333,20.513595819473267,2317,3000
original,82,0.7716666666666666,20.59545087814331,2315,3000
original,83,0.772,20.764128923416138,2316,3000
original,84,0.772,20.890599489212036,2316,3000
original,85,0.7716666666666666,20.81711220741272,2315,3000
original,86,0.7713333333333333,21.19498300552368,2314,3000
original,87,0.7713333333333333,20.68445920944214,2314,3000
original,88,0.7716666666666666,20.550361156463623,2315,3000
original,89,0.7723333333333333,21.00333571434021,2317,3000
original,90,0.7716666666666666,20.72090220451355,2315,3000
original,91,0.7723333333333333,20.510570287704468,2317,3000
original,92,0.7726666666666666,20.78514814376831,2318,3000
original,93,0.772,20.762227535247803,2316,3000
original,94,0.7716666666666666,20.5076847076416,2315,3000
original,95,0.772,20.58815884590149,2316,3000
original,96,0.772,20.593557834625244,2316,3000
original,97,0.7723333333333333,20.472673892974854,2317,3000
original,98,0.772,20.814831733703613,2316,3000
original,99,0.7713333333333333,20.51131248474121,2314,3000
original,100,0.7716666666666666,20.32442355155945,2315,3000
